,slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
7709,stellar,XLM,Stellar,2016-01-01,7,0.0017519999999999999,0.001766,0.001549,0.001748,4947.0,8472820.0,0.9171,0.0
7740,stellar,XLM,Stellar,2016-02-01,7,0.0017760000000000002,0.001812,0.001744,0.0017920000000000002,14159.0,8591390.0,0.7059,0.0
7769,stellar,XLM,Stellar,2016-03-01,7,0.0019489999999999998,0.0020050000000000003,0.0019030000000000002,0.0019089999999999999,15994.0,9427770.0,0.0588,0.0
7800,stellar,XLM,Stellar,2016-04-01,7,0.002026,0.002054,0.001993,0.0020469999999999998,20022.0,11112600.0,0.8852,0.0
7830,stellar,XLM,Stellar,2016-05-01,7,0.001852,0.001906,0.001841,0.001883,6884.0,10158800.0,0.6462,0.0
7861,stellar,XLM,Stellar,2016-06-01,7,0.001542,0.0015480000000000001,0.0014810000000000001,0.001525,24848.0,8461280.0,0.6567,0.0
7891,stellar,XLM,Stellar,2016-07-01,7,0.002117,0.0021219999999999998,0.002015,0.0020350000000000004,77519.0,11615800.0,0.1869,0.0
7922,stellar,XLM,Stellar,2016-08-01,7,0.0019149999999999998,0.001956,0.0018739999999999998,0.0018739999999999998,44883.0,10824100.0,0.0,0.0
7953,stellar,XLM,Stellar,2016-09-01,7,0.001906,0.00193,0.001875,0.001887,25272.0,10776700.0,0.2182,0.0
7983,stellar,XLM,Stellar,2016-10-01,7,0.002839,0.002927,0.002706,0.002763,187694.0,17298900.0,0.2579,0.0
8014,stellar,XLM,Stellar,2016-11-01,7,0.002088,0.002088,0.001929,0.0019760000000000003,39128.0,14308400.0,0.2956,0.0
8044,stellar,XLM,Stellar,2016-12-01,7,0.001629,0.0016719999999999999,0.0015429999999999999,0.0016190000000000002,60747.0,11164200.0,0.5891,0.0
8075,stellar,XLM,Stellar,2017-01-01,7,0.002464,0.002575,0.002432,0.0024809999999999997,39325.0,17052000.0,0.3427,0.0
8106,stellar,XLM,Stellar,2017-02-01,7,0.0023539999999999998,0.002414,0.002303,0.002357,60079.0,16290400.0,0.4865,0.0
8134,stellar,XLM,Stellar,2017-03-01,7,0.001842,0.001872,0.001628,0.0017239999999999998,263991.0,12872900.0,0.3934,0.0
8165,stellar,XLM,Stellar,2017-04-01,7,0.002349,0.00271,0.00232,0.0026309999999999997,1708130.0,16425600.0,0.7974,0.0
8195,stellar,XLM,Stellar,2017-05-01,7,0.004835,0.005804999999999999,0.004654,0.005138,6020040.0,45049600.0,0.4205,0.0
8226,stellar,XLM,Stellar,2017-06-01,7,0.034424,0.044108,0.034347,0.043069,46517700.0,332674000.0,0.8936,0.01
8256,stellar,XLM,Stellar,2017-07-01,7,0.026958999999999997,0.028074,0.023388,0.024465999999999998,9301920.0,277895000.0,0.23,0.0
8287,stellar,XLM,Stellar,2017-08-01,7,0.016102,0.017955000000000002,0.015865999999999998,0.017933,7577370.0,174282000.0,0.9895,0.0
