,date,count_commits,count_issues,count_pulls,price
324,2011-11-09,903,175,318,3.04
325,2011-11-10,910,176,320,2.95
326,2011-11-11,912,176,321,2.84
327,2011-11-12,913,176,324,3.08
328,2011-11-13,917,176,324,3.03
329,2011-11-14,920,176,324,3.0
330,2011-11-15,927,176,325,2.22
331,2011-11-16,927,176,325,2.33
332,2011-11-17,929,177,325,2.56
333,2011-11-18,929,177,325,2.25
334,2011-11-19,929,177,325,2.05
335,2011-11-20,933,179,325,2.2
336,2011-11-21,945,182,327,2.2
337,2011-11-22,945,182,327,2.29
338,2011-11-23,945,182,327,2.33
339,2011-11-24,947,183,328,2.33
340,2011-11-25,947,183,328,2.43
341,2011-11-26,950,185,330,2.51
342,2011-11-27,951,186,330,2.47
343,2011-11-28,951,186,330,2.48
344,2011-11-29,951,186,330,2.55
345,2011-11-30,951,186,330,2.75
346,2011-12-01,958,188,331,2.97
347,2011-12-02,961,190,332,3.06
348,2011-12-03,961,190,332,3.12
349,2011-12-04,963,190,333,2.79
350,2011-12-05,965,191,335,2.83
351,2011-12-06,965,191,335,2.88
352,2011-12-07,966,193,336,3.03
353,2011-12-08,966,193,336,2.99
354,2011-12-09,969,194,339,2.98
355,2011-12-10,970,194,340,2.97
356,2011-12-11,970,194,340,3.05
357,2011-12-12,973,194,340,3.25
358,2011-12-13,977,195,344,3.14
359,2011-12-14,979,196,344,3.25
360,2011-12-15,979,196,344,3.15
361,2011-12-16,988,198,348,3.2
362,2011-12-17,994,198,348,3.2
363,2011-12-18,994,198,348,3.2
364,2011-12-19,1013,199,350,3.19
365,2011-12-20,1026,200,352,3.52
366,2011-12-21,1027,200,353,3.95
367,2011-12-22,1029,201,353,3.89
368,2011-12-23,1042,203,355,3.89
369,2011-12-24,1042,203,355,3.95
370,2011-12-25,1046,203,355,3.94
371,2011-12-26,1046,203,355,4.22
372,2011-12-27,1049,204,356,4.02
373,2011-12-28,1050,204,357,4.07
374,2011-12-29,1050,204,357,4.19
375,2011-12-30,1050,204,357,4.17
376,2011-12-31,1050,204,357,4.25
377,2012-01-01,1050,204,357,4.72
378,2012-01-02,1050,207,359,5.27
379,2012-01-03,1061,209,362,5.22
380,2012-01-04,1061,209,362,4.88
381,2012-01-05,1065,210,362,5.57
382,2012-01-06,1067,211,363,6.95
383,2012-01-07,1069,212,365,6.7
384,2012-01-08,1069,212,365,6.81
385,2012-01-09,1075,213,365,7.11
386,2012-01-10,1078,214,365,6.33
387,2012-01-11,1078,214,365,6.36
388,2012-01-12,1080,214,365,6.9
389,2012-01-13,1091,215,366,6.8
390,2012-01-14,1093,215,368,6.41
391,2012-01-15,1096,216,369,6.75
392,2012-01-16,1097,217,369,7.0
393,2012-01-17,1102,218,370,6.68
394,2012-01-18,1103,219,372,5.6
395,2012-01-19,1108,219,375,5.92
396,2012-01-20,1109,220,376,6.36
397,2012-01-21,1111,220,378,6.49
398,2012-01-22,1111,220,378,6.18
399,2012-01-23,1121,222,379,6.31
400,2012-01-24,1121,222,379,6.36
401,2012-01-25,1124,224,380,6.29
402,2012-01-26,1126,225,381,5.75
403,2012-01-27,1127,225,382,5.34
404,2012-01-28,1128,225,382,5.29
405,2012-01-29,1128,225,382,5.63
406,2012-01-30,1128,225,382,5.38
407,2012-01-31,1131,226,383,5.49
408,2012-02-01,1134,227,384,5.48
409,2012-02-02,1134,227,384,6.08
410,2012-02-03,1134,227,384,6.1
411,2012-02-04,1134,227,384,5.96
412,2012-02-05,1136,227,388,5.87
413,2012-02-06,1144,228,390,5.69
414,2012-02-07,1154,228,393,5.45
415,2012-02-08,1154,228,393,5.69
416,2012-02-09,1155,231,394,5.6
417,2012-02-10,1161,232,397,5.83
418,2012-02-11,1170,236,401,5.91
419,2012-02-12,1173,236,402,5.6
420,2012-02-13,1173,236,402,5.51
421,2012-02-14,1173,236,402,5.26
422,2012-02-15,1182,238,406,4.46
423,2012-02-16,1189,243,409,4.33
424,2012-02-17,1203,246,415,4.27
425,2012-02-18,1211,247,418,4.41
426,2012-02-19,1219,247,421,4.22
427,2012-02-20,1228,250,422,4.39
428,2012-02-21,1229,253,422,4.36
429,2012-02-22,1240,253,427,4.27
430,2012-02-23,1244,255,429,4.42
431,2012-02-24,1245,255,431,5.01
432,2012-02-25,1251,255,438,5.03
433,2012-02-26,1257,257,441,4.77
434,2012-02-27,1263,258,444,4.92
435,2012-02-28,1267,259,444,4.96
436,2012-02-29,1270,260,445,4.87
437,2012-03-01,1271,260,445,4.86
438,2012-03-02,1271,260,445,4.92
439,2012-03-03,1273,260,447,4.7
440,2012-03-04,1273,260,447,4.61
441,2012-03-05,1275,262,449,4.82
442,2012-03-06,1275,262,449,4.98
